Product Title,Listing Type (Sponsored/ Organic),Avg. Star Rating,Quantities bought in the last month,Special deal running,MRP of the product,Selling Price,Presence of a Bestseller/Amazon’s Choice Tag,Date of Delivery
Matrix Opti.Care Professional Shampoo and Conditioner Combo for Salon Smooth Straight Hair | Control Frizzy Hair for up to 4 Days | With Shea Butter | No Added Parabens (350 ml + 196 g),N/A,4.4,N/A,N/A,,,"Amazon's
Choice","Tuesday, 14 May"
"Tresemme Keratin Smooth, Shampoo, 1L, for Straighter, Shinier Hair, with Keratin & Argan Oil, Nourishes Dry Hair, Controls Frizz , for Men & Women",N/A,4.3,10K+ bought in past month,-46%,,560,N/A,"Tuesday, 14 May"
"Dabur Vatika Health Shampoo - 640ml | With 7 natural ingredients | For Smooth, Shiny & Nourished Hair | Repairs Hair damage, Controls Frizz | For All Hair Types | Goodness of Henna & Amla",N/A,4.2,3K+ bought in past month,-56%,,239,"Amazon's
Choice","Tuesday, 14 May"
"L'Oreal Paris Moisture Filling Shampoo, With Hyaluronic Acid, For Dry & Dehydrated Hair, Adds Shine & Bounce, Hyaluron Moisture 72H, 180ml",N/A,4.2,10K+ bought in past month,-6%,,197,N/A,
Botanic Hearth Jojoba & Hyaluronic Acid Shampoo with 100% Pure Jojoba Oil & Aloe Extracts|Hydrates Hair & Adds Shine | For Dry & Dehydrated Hair | Shampoo for Women and Men | Sulphate & Paraben Free | 245ml,N/A,4.0,200+ bought in past month,-15%,,275,"Amazon's
Choice","Thursday, 16 May"
"Nyle Naturals Dryness Hydration Shampoo| For Dry & Frizz Free Hair | With Tulsi, Amla and Aloe Vera|Gentle & Soft Shampoo | For Men & Women | 800ml",N/A,4.1,1K+ bought in past month,-39%,,271,N/A,"Tuesday, 14 May"
"Nyle Naturals Damage Repair Shampoo 800 ml | Hair Repairing Shampoo with Papaya, Hibiscus, & Shikakai | pH Balanced & Paraben Free Gentle & Soft Shampoo For Women & Men",N/A,4.1,1K+ bought in past month,-29%,,317,N/A,"Monday, 20 May"
"Nyle Naturals Anti-Hairfall Shampoo | For Hairfall Control | With Coconut Milk, Badam and Amla |Gentle & Soft Shampoo For Men & Women |800ml",N/A,4.0,N/A,-29%,,317,N/A,
"Dove Daily Shine, Shampoo, 1L, for Damaged or Frizzy Hair, Makes Hair Soft, Shiny And Smooth, Mild Daily Shampoo, for Men & Women",N/A,4.3,9K+ bought in past month,-45%,,514,N/A,
"L'Oreal Paris Shampoo, Nourishes, Repair & Shine, For Long and Lifeless Hair, Dream Lengths, 180ml",N/A,4.2,3K+ bought in past month,-20%,,168,"Amazon's
Choice","Tuesday, 14 May"
"L'Oreal Paris Shampoo, For Damaged and Weak Hair, With Pro-Keratin + Ceramide, Total Repair 5, 1ltr",N/A,4.2,10K+ bought in past month,-57%,,474,N/A,
"Kesh King Ayurvedic Anti Hairfall Shampoo Reduces Hairfall, 21 Natural Ingredients With The Goodness Of Aloe Vera, Bhringraja And Amla For Silky, Shiney, Smooth Hair, 1000Ml",N/A,4.1,3K+ bought in past month,-55%,,339,N/A,"Wednesday, 15 May"
Dabur Vatika Ayurvedic Shampoo - 640ml | Damage Therapy | With Power of 10 ingredients for solving 10 hair problems| No Parabens | For all hair types,N/A,4.1,2K+ bought in past month,-56%,,230,N/A,
Dove Hair Fall Rescue Shampoo 1 L|| For Damaged Hair|| Hair Fall Control for Thicker Hair - Mild Daily Anti Hair Fall Shampoo for Men & Women,N/A,4.3,N/A,-49%,,514,N/A,
"WILDLY PURE Natural Volumizing Shampoo for Thin Hair|70% increase in Volume & Bounce |Plant Keratin Soy, Corn & Wheat Protein, Pro Vitamin B5|Mild Shampoo for Daily Use|Sulfate & Paraben Free|Men & Women|300ML[Lush]",N/A,4.1,50+ bought in past month,-26%,,625,N/A,
"Dove Intense Repair Shampoo 1 L, Repairs Dry and Damaged Hair, Strengthening Shampoo for Smooth & Strong Hair - Mild Daily Shampoo for Men & Women",N/A,4.3,6K+ bought in past month,-49%,,513,N/A,
"L'Oreal Paris Extraordinary Oil Nourishing Shampoo For Dry & Dull Hair, 180ml",N/A,4.2,4K+ bought in past month,-20%,,168,"Amazon's
Choice",
"Indulekha Bringha, Shampoo, 200ml, for Hair Fall Control, with Bringharaj Extracts, Amla, Shikakai, Paraben-Free, for Men & Women",N/A,4.2,3K+ bought in past month,-10%,,218,"Amazon's
Choice","Tuesday, 14 May"
"Plum Coconut Shampoo for Dull Hair with Coconut Milk and Peptides for Strong & Shiny Hair I 22x shine I Soft, silky hair I Shampoo for Women and Men | 250ml",N/A,4.1,N/A,-18%,,286,"Amazon's
Choice",
"Khadi Natural Amla & Bhringraj Shampoo/Cleanser for Controlling Dandruff & Hair fall | Shampoo for Reducing Scalp Irritation | Paraben & Sulphate-Free | Suitable for All Hair Types, 210ml",N/A,4.0,9K+ bought in past month,-44%,,168,N/A,"Tuesday, 14 May"
"L'OREAL PROFESSIONNEL PARIS Absolut Repair Shampoo For Damaged & Weakend Hair, 300ML |Professional Hair Repairing Shampoo|Hair Strengthening Shampoo",N/A,4.3,10K+ bought in past month,-10%,,711,N/A,
"Plum Hibiscus & Ceramides Shampoo | For Silky, Smooth, Long Hair & Split End Repair | Shampoo for Women and Men | 75ml",N/A,3.8,400+ bought in past month,-5%,,141,N/A,
"Biotique Green Apple Shine & Gloss Shampoo & Conditioner| Promotes Healthy, Shiny and Glossy Hair | Nourishes Scalp | Makes Hair Soft & Smooth |100% Botanical Extracts| All Skin Types | 650ml",N/A,4.1,2K+ bought in past month,-40%,,312,N/A,
"WOW Skin Science Onion Oil Shampoo with Red Onion Seed Oil Extract, Black Seed Oil & Pro-Vitamin B5 | Controls Hair fall | Helps Strengthen Hair | No Sulphate No Paraben | For Men & Women - 1ltr",N/A,3.9,3K+ bought in past month,-51%,,494,N/A,
Mamaearth Onion Shampoo for Anti Hair Fall & Hair Growth with Onion Oil & Plant Keratin 400ml,N/A,4.0,3K+ bought in past month,-22%,,438,N/A,
SESA Ayurvedic Medicinal Shampoo - Hair Fall Control in 15 days - Bhringraj & 16 Herbs - NO Parabens - 500 ml,N/A,3.9,700+ bought in past month,-31%,,271,N/A,"Tuesday, 14 May"
"Love Beauty & Planet Argan Oil and Lavender Natural Shampoo for Dry & Frizzy hair|No Sulfates,No Paraben|200ml",N/A,4.1,5K+ bought in past month,-7%,,325,N/A,22 - 23 May
"Herbal Essences Moroccan Argan Oil Shampoo For Frizz Free, Soft Hair. With Argan Oil For Hair. Paraben Free , 400 Ml",N/A,4.1,6K+ bought in past month,-38%,,408,N/A,
Clinic Plus Strong & Long Shampoo 1 L|| With Milk Proteins & Multivitamins for Healthy and Long Hair - Strengthening Shampoo for Hair Growth,N/A,4.3,5K+ bought in past month,-41%,,453,N/A,
Biotique Ocean Kelp Anti Hairfall Shampoo | Intensive Hair Growth Therapy| Anti Hairfall Shampoo that Maintains Shine |100% Botanical Extracts | Suitable for All Hair Types |650ml,N/A,4.0,3K+ bought in past month,-36%,,331,N/A,
"Pantene Hair Science Silky Smooth Shampoo 650ml with Pro-Vitamins & Vitamin E for hydrated, frizz free hair,for all hair types, shampoo for women & men, shampoo for frizzy and dry hair",N/A,4.3,1K+ bought in past month,-38%,,399,N/A,
Tresemme Hair Fall Defence Shampoo 1 Ltr,N/A,4.3,8K+ bought in past month,-47%,,551,N/A,
"VLCC Nourishing & Silky Shine Shampoo - B1G1 - 350ml X 2 (700ml) | Stronger, Silkier Hair | Helps Prevent Frizzy Hair, Easy to Manage Hair Shampoo | Soy Proteins and Almond Shampoo.",N/A,4.0,700+ bought in past month,-30%,,239,N/A,
"Dr Batra's® PRO+ Daily Care Shampoo with Keratin Protien Daily Care Shampoo (350ml, Pack of 1)",N/A,3.9,400+ bought in past month,-72%,,165,N/A,"Tuesday, 14 May"
Sunsilk Lusciously Thick & Long Shampoo 1 L|| With Keratin|| Yoghut Protein and Macadamia Oil - Thickening Shampoo for Fuller Hair,N/A,4.3,N/A,-45%,,489,N/A,
Matrix Opti.Care Professional Shampoo for Salon Smooth Straight Hair,N/A,4.2,9K+ bought in past month,,,335,"Amazon's
Choice",
Schwarzkopf Professional Spa Essence Nourishing Shampoo | 1000 Ml,N/A,4.1,1K+ bought in past month,-25%,,825,"Amazon's
Choice",
"Mamaearth Hibiscus Damage Repair Shampoo With Hibiscus & Curry Leaves for Strong & Nourished Hair - 250ml | For Dry & Frizzy Hair | For Smoother, Shinier Hair | Suitable For All Hair Types",N/A,4.2,1K+ bought in past month,-10%,,313,N/A,
BBLUNT Intense Moisture Shampoo with Jojoba and Vitamin E for Dry & Frizzy Hair - 300 ml,N/A,3.9,2K+ bought in past month,-15%,,339,N/A,"Tuesday, 14 May"
Bare Anatomy Ultra Smoothing Shampoo for Dry and Frizzy Hair | Restores Smoothing & Texture by 27% | Powered By Carbohydrate Complex & Niacinamide | SLS & Paraben Free | Vegan | For Men & Women -250ml,N/A,4.1,2K+ bought in past month,-33%,,399,"Amazon's
Choice",
"L'Oreal Paris Anti-Hair Fall Shampoo, Reinforcing & Nourishing for Hair Growth, For Thinning & Hair Loss, With Arginine Essence and Salicylic Acid, Fall Resist 3X, 180 ml",N/A,4.2,1K+ bought in past month,-9%,,181,N/A,"Tuesday, 14 May"
"Sunsilk Hairfall Shampoo with Onion & Jojoba Oil, that works best to nourish your long hair, and makes it grow stronger from the first wash, 195ml",N/A,4.1,N/A,-1%,,153,"Amazon's
Choice","Tuesday, 14 May"
Sebamed Anti- Hairloss Shampoo 200Ml|Ph 5.5|Reduces Hairloss|Caffeine&Gingko Biloba|All Hair Types,N/A,4.1,5K+ bought in past month,-46%,,351,"Amazon's
Choice","Tuesday, 14 May"
"Bare Anatomy Anti Hair Fall Shampoo|5x Hair Fall Control & Growth|Contains Biotin Adenosine, & Peptides| For All Hair Types | For Women & Men | 250ml",N/A,4.0,2K+ bought in past month,-32%,,369,"Amazon's
Choice",
"Love Beauty & Planet Onion, Black Seed & Patchouli Hairfall Control Natural Shampoo|No Sulfates,No Paraben|400ml",N/A,4.1,4K+ bought in past month,N/A,,650,N/A,
"Bajaj Almond Drops Anti Hairfall Shampoo with Almond Oil & Vitamin E | For 10X Hairfall Reduction* & Soft, Shiny Hair* | Paraben Free | Ideal for Men and Women - 340ML",N/A,4.2,1K+ bought in past month,-45%,,170,"Amazon's
Choice","Tuesday, 14 May"
